,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
03-20,0.7,0.5,20.64,50.18,,,350.68,710.14,470.62,100.84,,,790.08,740.88,650.79,470.51,,1250.45,2050.6,1840.83,1800.9,,
03-21,0.73,0.49,20.72,50.15,,80.16,350.42,700.88,480.21,,,690.69,780.77,740.78,640.82,,790.81,1250.33,2140.84,1840.01,,,
03-22,0.77,0.49,20.81,,70.07,80.33,350.67,720.35,,,690.0,700.36,760.46,730.97,,,800.03,1240.73,2210.46,1830.5,,2640.36,
03-23,0.75,0.49,,,70.09,80.22,350.72,730.18,,110.51,690.24,700.97,760.83,,,460.1,780.93,1260.0,2190.61,,1740.2,2600.75,
03-24,0.76,,,50.08,60.94,80.34,350.56,,490.63,100.61,690.46,720.76,,,660.15,450.71,780.75,1240.59,,,1810.1,2630.9,1350.4
03-25,,,20.7,50.15,60.96,80.3,,,480.59,110.23,680.2,730.5,,730.21,670.3,450.8,790.65,,,1870.0,1770.01,2630.93,1310.0
03-26,,0.5,20.73,50.25,60.97,,,720.7,460.98,110.01,670.18,,790.8,720.25,670.61,440.65,,,2200.61,1900.9,1790.1,2670.29,
03-27,0.76,0.49,20.85,50.2,,,350.83,710.73,470.12,100.33,,,790.34,720.33,650.79,440.15,,1230.0,2180.84,1890.0,1730.0,,
03-28,0.7,0.49,20.87,50.16,,80.35,350.55,710.39,470.23,,,730.37,780.13,750.02,650.7,,780.65,1230.3,2140.31,1890.43,,,1260.94
03-29,0.73,0.47,20.86,,70.1,80.36,350.19,720.05,,,670.91,720.75,760.51,750.1,,,770.6,1230.05,2140.95,1880.2,,2700.25,1300.8
03-30,0.7,0.49,,,70.21,80.29,350.99,710.27,,90.35,670.07,730.21,780.05,,,460.03,790.09,1220.88,2140.73,,1730.75,2720.07,1350.5
03-31,0.71,,,50.06,70.22,80.45,360.0,,470.3,100.01,660.7,730.03,,,670.3,450.63,790.09,1200.8,,,1760.83,2700.5,1450.9
04-01,,,20.87,50.09,70.22,80.64,,,480.58,100.26,670.45,730.79,,740.61,670.62,470.3,770.29,,,1900.22,1740.1,2680.8,1590.0
04-02,,0.5,20.79,50.12,70.4,,,710.41,500.39,100.88,670.71,,780.1,740.64,650.65,480.9,,,2160.54,1910.64,1740.34,2710.44,
