,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
03-06,200.64,300.71,600.92,700.72,,,3400.26,1900.5,1200.87,800.56,,,1900.68,2200.56,2500.9,4100.23,,3200.02,2900.68,4000.16,3400.04,,
03-07,200.72,300.72,700.15,700.58,,1800.48,3100.84,1900.29,1200.68,,,1600.66,1900.89,2200.51,2500.8,,4500.2,3100.13,2900.605,4000.26,,,
03-08,200.72,300.72,700.15,,1300.39,1800.48,3100.84,1900.29,,,1500.5,1600.66,1900.89,2200.51,,,4500.2,3100.13,,,,,
03-09,200.81,300.72,,,1300.69,1800.77,3100.39,1900.75,,800.56,1500.52,1600.71,1900.89,,,4100.23,4400.8,3200.15,2900.92,,,4000.505,
03-10,200.9,,,700.58,1300.69,1700.99,3100.99,,1200.68,900.0,1500.7,1600.51,,,2500.8,3900.45,4500.23,3100.9,,,3700.92,4000.585,
03-11,,,700.0,700.46,1300.38,1800.06,,,1300.15,800.77,1500.77,1600.24,,2200.76,2500.9,4000.0,4500.12,,,3900.94,3700.59,4000.03,
03-12,,300.63,600.82,700.29,1300.23,,,1900.72,1300.54,800.29,1500.98,,2000.37,2200.51,2500.65,4000.5,,,3000.03,3900.8,3700.065,4000.45,
03-13,200.64,300.71,600.89,700.36,,,3200.94,1900.86,1300.33,800.2,,,2100.02,2200.39,2500.55,4000.16,,3100.76,3000.17,3900.85,3500.73,,
03-14,200.8,300.57,700.13,700.11,,1700.93,3200.25,1900.76,1200.9,,,1600.41,2100.44,2200.26,2300.95,,4400.99,3200.2,3000.065,3900.63,,,
03-15,200.71,300.74,700.2,,1300.19,1700.58,3300.53,2100.48,,,1500.88,1500.76,2100.32,2200.0,,,4400.91,3100.99,2900.845,3900.95,,4000.65,
03-16,200.7,300.67,,,1300.45,1600.79,3300.13,2100.3,,800.25,1600.02,1500.64,2100.76,,,3900.8,4500.25,3100.81,3000.59,,3600.0,4000.52,
03-17,200.71,,,700.0,1300.67,1700.12,3300.85,,1100.87,800.28,1600.2,1500.73,,,2400.56,3900.88,4500.21,3200.91,,,3600.9,4000.2,
03-18,,,700.35,600.85,1300.75,1600.94,,,1100.75,700.88,1600.01,1500.8,,2100.57,2400.9,4000.21,4300.55,,,3900.865,3600.1,4000.05,
03-19,,300.4,700.16,600.98,1300.93,,,2000.65,1100.57,800.06,1600.2,,2100.53,2100.32,2400.86,3900.7,,,3000.595,4000.105,3600.525,3900.81,
03-20,200.7,300.35,700.07,700.1,,,3300.69,1900.91,1100.22,800.1,,,2000.83,2100.13,2400.65,4200.6,,3300.33,3000.555,4000.36,3500.71,,
03-21,200.6,300.31,700.14,700.1,,1600.4,3200.08,2000.29,1100.31,,,1600.0,2100.18,2100.11,2400.38,,4300.43,3300.51,3000.18,4000.48,,,
03-22,200.68,300.2,700.17,,1300.73,1600.78,3200.14,2000.44,,,1600.01,1500.91,2000.81,2000.51,,,4300.96,3300.99,2900.97,4000.23,,4000.115,
03-23,200.75,300.18,,,1300.54,1600.75,3200.15,2100.03,,800.43,1600.22,1600.37,2000.84,,,4200.59,4400.05,3300.37,2900.745,,3500.02,4000.675,
03-24,200.72,,,600.97,1300.47,1700.34,3100.87,,1100.52,800.6,1600.2,1600.54,,,2400.0,4200.61,4400.16,3300.15,,,3500.2,4000.535,3500.3
