,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
02-23,10.4,0.66,,,90.4,150.66,440.72,970.0,,140.36,790.31,980.55,960.07,,,740.75,1030.2,1650.9,2770.49,,,,
02-24,10.43,,,60.66,90.6,150.88,440.72,,,140.15,760.1,970.13,990.09,,940.67,730.7,1020.1,1650.51,,,,2690.79,1320.18
02-25,10.37,,20.76,60.72,90.89,160.3,,,820.92,140.23,740.96,1000.23,,1060.66,940.13,740.2,1040.05,,,2050.86,2450.19,2750.19,1310.12
02-26,,0.69,20.78,60.68,90.8,,,990.05,840.71,140.64,750.09,,,1040.18,920.35,750.95,1060.24,,2790.97,2050.8,2500.8,2700.03,
02-27,,0.67,20.77,60.67,90.84,,440.85,950.0,830.72,140.29,,,990.66,1030.4,900.05,750.91,,1600.95,2780.21,2050.4,2420.88,,
02-28,10.3,0.67,20.75,60.67,,160.3,420.9,960.71,820.91,,,1020.09,980.68,1040.46,910.1,,,1560.0,2720.4,2070.8,2330.36,,
02-29,10.35,,,,,,,,800.3,,,,1000.11,,,,1070.0,,,,,,
03-01,10.39,0.69,20.9,,100.11,160.22,420.8,910.36,,,800.25,990.9,1000.27,1030.04,,,1080.26,1600.0,2750.0,2060.54,,2740.27,
03-02,10.37,0.71,,,100.03,150.8,420.93,910.25,,140.33,820.51,990.45,1010.56,,,760.2,1060.12,1630.4,2730.0,,2280.17,2790.2,
03-03,10.41,,,60.9,90.83,150.9,420.75,,780.62,150.01,830.23,1010.91,,,770.35,750.55,1060.99,1640.4,,,2360.63,2780.88,
03-04,,,20.93,60.83,90.9,160.6,,,760.51,160.36,820.95,1000.53,,1020.71,810.52,720.31,1080.99,,,2050.5,2350.27,2790.84,
03-05,,0.75,20.93,70.01,100.06,,,910.51,780.32,150.69,870.09,,1020.27,1040.01,810.47,720.7,,,2770.0,2020.92,2320.33,2750.44,
03-06,10.41,0.79,20.89,70.0,,,420.4,920.3,770.11,150.82,,,970.32,1050.42,800.47,730.25,,1620.0,2740.03,2050.0,2190.99,,
03-07,10.47,0.83,30.0,60.83,,160.56,400.5,910.3,740.75,,,1010.49,970.53,1050.26,790.99,,1090.47,1600.98,2710.47,2030.95,,,
03-08,10.47,0.83,30.0,,100.06,160.56,400.5,910.3,,,870.09,1010.49,970.53,1050.26,,,1090.47,1600.98,,,,,
03-09,10.54,0.83,,,100.25,160.34,390.3,920.5,,150.82,890.4,1020.76,970.53,,,730.25,1080.15,1560.2,2710.58,,,2840.72,
03-10,10.62,,,60.83,100.13,150.9,390.5,,740.75,170.08,870.21,990.67,,,790.99,690.8,1080.84,1570.5,,,2010.2,2810.66,
03-11,,,20.99,60.77,90.99,150.9,,,780.37,170.18,870.36,980.74,,1060.87,760.75,700.68,1090.26,,,2050.25,1940.53,2850.48,
03-12,,0.78,20.96,60.72,90.96,,,910.73,780.47,160.67,890.14,,990.15,1060.02,720.74,700.79,,,2740.77,2050.1,1750.91,2850.7,
03-13,10.53,0.79,30.0,60.8,,,400.75,920.0,750.88,160.91,,,1000.54,1040.48,690.8,670.87,,1580.92,2750.49,2060.0,1980.6,,
03-14,10.57,0.83,30.05,60.78,,160.0,390.28,900.0,770.0,,,970.11,1030.26,1040.83,710.2,,1090.26,1570.42,2690.08,2030.66,,,
03-15,10.49,0.91,30.24,,100.09,150.87,390.28,900.1,,,870.96,950.0,1000.63,1040.37,,,1060.46,1560.2,2580.89,2030.55,,2910.19,
03-16,10.44,0.94,,,100.18,150.2,390.1,890.98,,180.2,880.95,940.53,1000.37,,,650.57,1070.0,1580.35,2530.73,,1950.85,2930.3,
03-17,10.43,,,60.58,100.3,150.63,390.8,,720.52,200.28,890.43,980.03,,,760.71,640.65,1090.47,1610.15,,,1840.01,2810.3,
03-18,,,30.37,60.48,110.03,150.87,,,740.59,200.52,890.72,990.99,,1000.41,820.0,650.26,1120.4,,,2050.9,1740.27,2830.45,
03-19,,0.94,30.35,60.56,110.64,,,910.11,740.79,240.09,880.1,,990.7,990.68,800.64,640.9,,,2540.16,2070.7,1890.51,2840.32,
03-20,10.4,0.94,30.34,60.57,,,400.12,900.2,730.56,220.98,,,980.51,1020.29,790.4,670.0,,1630.8,2520.08,2090.8,1950.69,,
03-21,10.46,0.92,30.48,60.65,,150.8,400.09,900.28,740.48,,,1000.42,980.22,1010.69,780.47,,1120.07,1620.98,2650.65,2100.61,,,
03-22,10.51,0.92,30.81,,110.4,160.05,400.27,930.95,,,860.43,1000.41,960.01,990.38,,,1110.49,1620.92,2660.25,2070.7,,2890.05,
03-23,10.53,0.92,,,110.6,150.91,410.44,940.51,,250.39,850.9,1010.11,970.5,,,650.0,1090.1,1640.15,2630.07,,1830.37,2830.03,
03-24,10.52,,,60.47,110.58,160.25,410.04,,760.96,230.34,860.92,1050.07,,,780.4,650.6,1080.06,1640.52,,,1920.64,2860.6,1360.24
03-25,,,30.71,60.47,110.76,160.41,,,740.8,250.38,850.99,1060.99,,980.66,810.7,640.8,1090.1,,,2140.0,1880.08,2850.17,1310.5
03-26,,0.91,30.82,60.54,110.9,,,940.18,730.05,240.95,840.63,,990.99,970.13,820.5,620.85,,,2630.52,2180.0,1880.07,2880.9,
03-27,10.52,0.91,40.11,60.55,,,410.29,920.95,730.16,220.68,,,970.84,960.73,790.9,610.0,,1620.69,2560.9,2140.1,1800.38,,
03-28,10.4,0.91,40.29,60.54,,160.5,400.25,920.6,730.34,,,1060.47,950.83,980.64,810.36,,1080.12,1630.66,2520.03,2150.07,,,1250.0
03-29,10.44,0.9,40.28,,120.68,160.27,390.75,930.3,,,850.42,1060.23,930.57,980.83,,,1070.05,1630.22,2530.13,2140.42,,2930.0,1280.77
03-30,10.39,0.94,,,120.67,160.1,410.15,920.5,,200.07,850.1,1060.92,940.64,,,630.01,1090.15,1630.5,2530.89,,1830.0,2930.84,1340.6
03-31,10.42,,,60.42,120.63,160.5,410.17,,730.29,200.82,850.83,1060.79,,,830.8,620.88,1090.9,1590.8,,,1870.21,2900.26,1430.69
04-01,,,40.31,60.43,120.67,170.05,,,750.03,210.02,870.72,1080.71,,980.08,830.88,640.5,1080.52,,,2170.7,1840.78,2880.86,1540.5
04-02,,0.95,40.34,60.47,120.75,,,920.32,780.86,230.26,880.17,,950.19,980.96,820.67,650.92,,,2560.5,2180.23,1860.95,2910.72,
04-03,10.39,0.92,40.3,60.55,,,410.35,920.55,760.83,220.93,,,970.92,990.48,810.51,650.5,,1610.8,2490.2,2190.05,1850.64,,
04-04,10.52,0.92,40.46,60.64,,170.25,400.85,930.2,770.25,,,1080.58,960.18,990.89,820.98,,1080.2,1630.5,2510.07,2210.8,,,1660.0
04-05,10.4,0.96,40.62,,120.89,170.39,410.9,940.87,,,880.57,1060.92,970.4,990.29,,,1060.87,1680.1,2610.36,2270.5,,2880.79,1540.1
04-06,10.43,0.94,,,120.3,170.49,410.65,970.05,,230.27,880.59,1070.89,950.63,,,680.99,1080.0,1670.49,2600.13,,1900.7,2810.8,1410.6
04-07,10.42,,,60.83,120.34,170.58,410.9,,790.28,230.55,860.48,1060.65,,,790.95,690.6,1080.51,1610.49,,,1970.63,2820.4,1470.5
04-08,,,40.71,60.77,120.49,170.63,,,770.59,240.53,840.9,1090.06,,1000.35,790.41,690.4,1120.92,,,2320.3,2000.29,2830.72,1430.72
04-09,,0.94,40.86,60.77,120.47,,,1000.0,780.78,260.83,860.85,,950.86,1020.61,780.85,720.0,,,2210.75,2380.0,2030.61,2800.1,
04-10,10.55,0.97,50.07,60.7,,,430.2,990.95,770.32,260.87,,,950.61,1030.28,790.9,710.5,,1550.2,2130.82,2430.68,2010.99,,
04-11,10.48,10.01,50.0,60.73,,170.5,420.81,1000.36,740.49,,,1080.43,960.08,1020.43,790.75,,1170.35,1560.0,2120.17,2380.86,,,1380.69
04-12,10.52,10.0,40.69,,120.4,170.61,430.59,980.99,,,860.46,1040.84,950.64,980.43,,,1170.95,1500.28,2160.21,2390.5,,2810.2,1350.38
04-13,10.51,10.03,,,120.01,180.02,420.95,1020.6,,260.7,870.24,1060.16,940.07,,,740.1,1190.5,1520.0,2110.52,,1980.26,2860.28,1350.5
04-14,10.5,,,60.78,120.01,180.0,430.37,,740.08,290.1,890.18,1060.43,,,780.35,740.05,1190.3,1490.24,,,1970.37,2880.3,1290.05
04-15,,,40.62,60.88,120.21,180.17,,,730.63,280.02,890.3,1060.04,,950.35,750.2,760.49,1190.3,,,2370.8,1860.07,2830.17,1300.88
04-16,,10.01,40.81,60.95,110.86,,,1020.9,750.35,290.14,870.06,,920.21,950.88,760.13,760.5,,,1980.55,2330.24,1880.5,2890.03,
04-17,10.38,10.03,50.05,60.93,,,430.43,1020.7,730.51,280.86,,,930.18,940.64,760.89,720.5,,1530.99,2030.66,2340.3,1910.8,,
04-18,10.39,10.09,50.09,70.0,,170.8,430.55,1000.5,760.62,,,1000.07,920.93,950.37,780.82,,1180.2,1530.4,2160.73,2320.79,,,1230.85
04-19,10.38,10.07,50.2,,110.72,170.99,430.65,1000.0,,,850.23,1010.47,940.35,960.35,,,1210.5,1530.6,2180.93,2320.6,,2870.84,1200.3
04-20,10.41,10.02,,,110.9,170.97,420.5,1020.25,,260.21,860.63,1020.79,950.15,,,730.5,1230.75,1580.21,2140.4,,1890.32,2870.92,1210.5
04-21,10.44,,,70.12,110.6,180.07,420.79,,750.13,250.96,850.54,1020.57,,,770.62,750.24,1190.17,1590.59,,,1860.05,2880.1,1180.65
04-22,,,50.27,70.13,110.65,180.21,,,740.91,270.3,840.31,1030.97,,940.99,760.3,730.9,1210.25,,,2350.41,1900.2,2920.21,1160.97
04-23,,10.01,50.23,70.2,110.7,,,1020.28,740.29,280.22,840.42,,920.53,960.44,750.56,750.8,,,2160.95,2350.67,1900.94,2930.0,
04-24,10.4,10.04,50.36,70.09,,,420.6,1010.6,740.28,270.76,,,920.66,970.92,730.21,750.75,,1620.5,2260.07,2360.0,1880.91,,
04-25,10.42,10.03,50.48,70.13,,180.18,420.93,1020.63,750.02,,,1010.81,930.72,960.37,690.91,,1200.08,1620.55,2210.59,2270.8,,,1110.9
04-26,10.48,10.06,50.45,,110.67,180.1,470.51,1020.3,,,840.69,1010.41,920.67,950.73,,,1190.7,1650.05,2180.13,2230.18,,2940.9,1220.36
04-27,10.43,10.05,,,120.04,170.89,460.3,990.79,,270.01,820.94,1000.24,930.75,,,750.2,1200.8,1640.69,2220.98,,1880.9,2970.5,1310.11
04-28,10.49,,,70.16,110.79,170.93,480.95,,750.68,260.07,790.47,1010.01,,,730.39,750.7,1240.39,1650.2,2230.75,,1920.8,2980.4,1230.85
04-29,,,50.38,70.15,110.22,170.96,,,760.95,270.03,800.88,990.95,,940.71,720.8,750.2,1230.55,,,2280.8,1950.8,2960.94,1280.8
04-30,,10.05,50.31,70.05,110.13,,,1010.8,770.11,270.84,780.67,,940.03,990.02,720.5,760.9,,,2260.45,2250.17,1970.25,2970.72,
05-01,10.49,10.05,50.31,70.05,,,480.95,1010.8,770.11,270.84,,,940.03,990.02,720.5,760.9,,1650.2,,,,,
05-02,10.49,10.05,50.31,70.05,,170.96,510.59,1020.8,770.11,,,990.95,930.21,1000.8,720.22,,1230.55,1660.64,2270.25,2290.1,,,
05-03,10.47,10.05,50.31,,110.13,180.27,490.65,1020.4,,,780.67,970.92,920.65,1020.91,,,1230.55,1640.71,2290.89,2320.52,,,
05-04,10.46,10.06,,,110.13,180.35,490.8,1020.85,,290.28,750.58,960.34,900.75,,,760.9,1200.96,1650.5,2260.54,,1930.69,3010.3,1230.2
05-05,10.45,,,70.18,110.33,180.13,490.9,,810.03,280.85,750.07,950.57,,,710.99,800.21,1200.92,1650.8,,,1940.75,3050.85,1240.8
05-06,,,50.29,70.2,110.24,180.07,,,800.22,290.44,740.0,980.15,,1020.41,740.1,790.2,1200.64,,,2320.8,1950.7,3120.76,1230.1
05-07,,10.05,40.97,70.3,100.57,,,1020.93,820.18,310.26,700.41,,880.46,1050.14,780.5,760.5,,,2290.82,2310.49,1950.51,3170.91,
05-08,10.47,10.06,50.43,70.33,,,500.5,1030.08,810.63,320.28,,,890.3,1050.81,780.8,750.5,,1650.8,2280.13,2300.0,1960.02,,
05-09,10.47,10.06,50.43,70.33,,180.07,500.5,1030.08,810.63,,,980.15,890.3,1050.81,780.8,,1200.64,1650.8,,,,,
05-10,10.46,10.06,50.43,,100.57,180.07,480.52,1030.0,,,700.41,970.38,910.74,1030.6,,,1190.55,1700.8,2310.3,2270.0,,3190.97,
05-11,10.44,10.05,,,100.1,170.7,460.9,990.89,,320.28,740.72,960.64,910.0,,,750.5,1230.45,1690.97,2360.49,,,3060.16,1230.34
05-12,10.4,,,80.0,100.99,170.72,460.32,,820.69,330.66,810.98,960.61,,,790.08,750.19,1210.2,1670.7,,,1910.4,3030.27,1190.15
05-13,,,50.46,70.92,110.2,170.87,,,830.15,320.26,800.75,970.88,,1030.33,800.15,750.24,1210.07,,,2240.22,1870.31,3060.05,1200.2
05-14,,10.05,50.43,70.89,110.02,,,990.56,840.02,310.69,770.24,,870.6,1030.88,810.38,740.31,,,2350.19,2270.88,1830.81,3020.7,
05-15,10.39,10.06,50.43,80.0,,,430.85,970.65,830.96,320.99,,,880.2,1030.23,800.04,750.05,,1710.35,2330.66,2280.69,1830.85,,
05-16,10.41,10.07,50.48,80.06,,170.52,440.1,980.15,850.8,,,980.06,860.88,1020.45,790.2,,1220.6,1700.66,2290.07,2280.19,,,1230.41
05-17,10.28,10.08,50.58,,110.39,170.98,420.0,970.5,,,760.71,960.38,800.63,1050.1,,,1220.71,1690.24,2280.32,2260.94,,3020.6,1270.75
05-18,10.27,10.09,,,110.91,180.01,420.09,980.5,,340.05,770.05,970.15,780.4,,,750.36,1230.12,1660.5,2270.52,,1880.93,3040.96,1250.12
05-19,10.2,,,80.0,110.9,180.04,410.51,,880.59,360.05,730.82,960.59,,,810.62,730.35,1200.5,1680.87,,,1890.0,2960.61,1250.6
05-20,,,50.62,80.0,120.38,170.86,,,870.31,400.03,700.01,940.04,,1060.63,820.31,710.6,1210.9,,,2260.0,1930.98,2970.11,1220.2
05-21,,10.09,50.74,80.0,120.3,,,980.17,870.33,370.63,690.17,,810.9,1080.88,830.59,730.25,,,2250.39,2320.71,1920.4,3010.54,
05-22,10.13,10.1,50.73,80.05,,,360.84,960.85,850.54,390.01,,,820.82,1100.8,830.26,740.35,,1680.03,2230.81,2350.86,1880.9,,
05-23,10.03,10.17,50.74,80.3,,170.88,410.8,930.4,860.32,,,910.63,780.75,1050.62,850.83,,1210.51,1660.31,2220.69,2290.3,,,1190.46
05-24,0.98,10.14,50.64,,120.27,180.24,400.36,910.49,,,700.14,930.65,810.57,1030.01,,,1230.5,1650.7,2210.8,2340.45,,2990.74,1230.6
05-25,10.02,10.12,,,110.8,180.0,430.33,930.36,,390.39,640.41,950.23,800.11,,,740.46,1270.87,1640.05,2210.02,,1910.0,3070.0,1240.15
05-26,10.07,,,80.41,110.93,170.83,440.55,,840.76,390.5,680.71,950.64,,,860.87,740.67,1320.16,1600.7,,,1940.0,3060.25,1230.0
05-27,,,50.65,80.38,110.8,170.85,,,830.1,400.94,700.65,960.94,,1020.86,840.33,740.23,1330.2,,,2360.0,1980.51,3130.9,1210.22
05-28,,10.09,50.41,80.45,110.56,,,920.3,840.77,410.47,700.46,,800.32,1040.0,840.95,730.6,,,2200.42,2330.19,2050.0,3090.9,
05-29,10.06,10.06,50.36,80.26,,,420.83,890.39,840.55,440.21,,,840.11,990.98,850.65,730.5,,1630.9,2180.61,2330.4,2000.5,,
05-30,10.11,10.07,50.29,80.07,,170.99,420.89,870.9,850.24,,,970.32,820.46,990.94,840.5,,1340.45,1610.64,2190.91,2320.75,,,1200.67
05-31,10.13,10.07,50.39,,110.35,180.5,430.15,910.8,,,710.05,970.61,810.76,980.73,,,1320.56,1550.93,2220.92,2330.24,,3090.91,1180.3
06-01,10.18,10.09,,,110.2,180.46,450.29,950.1,,510.75,700.89,960.65,780.75,,,720.65,1310.36,1530.0,2200.96,,2030.66,3110.3,1210.97
06-02,10.25,,,70.96,110.69,180.41,470.65,,840.5,530.36,700.96,960.9,,,850.91,730.92,1320.3,1570.14,,,2120.0,3130.85,1190.0
06-03,,,50.42,80.04,110.74,180.56,,,830.55,470.1,720.19,950.19,,980.72,860.84,710.72,1310.59,,,2390.95,2210.5,3120.5,1190.21
06-04,,10.11,50.35,80.21,110.61,,,960.4,820.22,490.03,700.2,,780.15,980.89,870.81,710.25,,,2210.06,2360.0,2130.1,3100.46,1180.34
06-05,10.21,10.14,50.3,80.1,,,470.45,970.4,820.1,500.78,,,780.16,970.56,870.43,700.61,,1540.7,2160.51,2390.0,2190.1,,1180.37
06-06,10.13,10.14,50.38,80.17,,180.5,440.51,960.4,800.73,,,950.92,800.64,960.8,890.0,,1330.99,1520.8,2170.5,2440.89,,,1180.78
06-07,10.19,10.11,50.36,,110.92,180.38,450.18,950.99,,,710.02,960.3,830.39,990.05,,,1390.97,1520.82,2180.31,2480.28,,3140.6,1180.32
06-08,10.2,10.11,,,110.81,180.44,410.65,940.0,,480.39,700.92,950.97,810.33,,,690.17,1390.39,1510.93,2100.95,,2200.3,3130.99,1190.9
06-09,10.2,,,80.2,110.77,180.38,420.98,,790.37,490.22,710.75,990.28,,,880.89,700.21,1390.61,1500.13,2120.6,,2170.23,3150.51,1180.2
06-10,,,50.51,80.0,110.55,180.43,,,780.52,490.47,730.26,970.54,,970.83,880.99,710.51,1330.5,,,2490.0,2120.53,3140.3,1180.07
