,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
03-29,,,,,,,2280.26,2730.97,,,1640.63,2240.16,1770.03,1340.08,,,1440.7,1280.81,1410.83,1490.61,,2280.75,2080.0
03-30,,,,,,,2300.32,2700.87,,1240.15,1700.27,2290.3,1810.08,,,1370.0,1470.8,1280.49,1420.48,,1760.44,2260.74,2160.0
03-31,,,,,,,2300.31,,2960.63,1260.59,1710.88,2290.05,,,1350.5,1380.9,1470.75,1270.9,,,1810.41,2280.25,2420.48
04-01,,,,,,,,,2990.91,1310.26,1750.0,2350.07,,1320.93,1350.89,1430.0,1470.2,,,1540.53,1800.06,2250.75,2510.4
04-02,,,,,,,,2690.04,3000.96,1400.21,1750.28,,1820.01,1300.89,1340.9,1430.9,,,1420.02,1550.0,1870.04,2280.25,
04-03,,,,,,,2300.52,2660.93,2970.59,1380.07,,,1850.07,1300.3,1340.5,1430.94,,1270.21,1400.45,1560.99,1890.77,,
04-04,,,,,,,2310.62,2680.91,2970.55,,,2380.0,1810.13,1310.11,1370.47,,1460.38,1280.81,1390.61,1580.89,,,2520.9
04-05,,,,,,,2370.59,2690.97,,,1750.68,2380.66,1820.06,1300.49,,,1440.34,1300.69,1410.09,1580.6,,2240.52,2430.5
04-06,,,,,,,2420.73,2680.2,,1360.05,1770.38,2390.33,1780.19,,,1450.7,1440.2,1300.5,1410.5,,1910.1,2230.7,2390.7
04-07,,,,,,,2500.07,,3050.55,1350.33,1750.15,2370.81,,,1330.99,1460.2,1430.89,1280.72,,,1910.22,2240.27,2450.0
04-08,,,,,,,,,3020.39,1390.51,1740.57,2430.2,,1290.08,1330.25,1470.27,1450.7,,,1600.5,1940.11,2230.95,2410.07
04-09,,,,,,,,2690.61,3090.35,1470.86,1750.19,,1790.7,1300.52,1320.31,1480.1,,,1330.4,1620.7,1930.86,2210.7,
04-10,,,,,,,2670.78,2680.99,3110.56,1470.96,,,1760.49,1290.38,1340.82,1480.0,,1260.16,1390.15,1620.88,1920.0,,
04-11,,,,,,,2640.27,2730.88,3070.92,,,2430.93,1760.16,1260.05,1340.0,,1470.3,1260.0,1430.86,1580.04,,,2340.55
04-12,,,,,,,2630.66,2710.01,,,1760.01,2350.48,1750.91,1260.89,,,1480.9,1250.05,1430.46,1590.12,,2220.45,2360.3
04-13,,,,,,,2620.77,2720.01,,1420.62,1740.23,2340.81,1770.98,,,1480.8,1530.12,1240.54,1430.21,,1880.07,2240.76,2340.87
04-14,,,,,,,2670.32,,3060.34,1440.32,1810.27,2280.87,,,1310.0,1440.4,1500.43,1220.85,,,1900.11,2350.99,2220.11
04-15,,,,,,,,,3100.3,1410.94,1850.08,2270.85,,1250.22,1270.75,1500.1,1470.99,,,1580.33,1840.25,2350.49,2240.0
04-16,,,,,,,,2670.33,3140.78,1430.05,1800.22,,1740.51,1240.35,1290.0,1520.4,,,1400.82,1620.24,1840.3,2350.02,
04-17,,,,,,,2690.81,2610.56,3090.77,1430.48,,,1700.82,1210.97,1290.82,1490.3,,1230.7,1410.48,1640.0,1840.68,,
04-18,,,,,,,2720.0,2570.68,3170.3,,,2190.41,1690.38,1200.5,1330.9,,1460.3,1220.22,1440.97,1610.79,,,2160.99
04-19,,,,,,,2760.64,2520.39,,,1740.57,2250.17,1710.23,1200.2,,,1550.95,1210.55,1440.05,1620.57,,2300.62,2200.72
04-20,,,,,,,2770.82,2590.69,,1330.97,1750.01,2300.68,1710.02,,,1530.96,1610.95,1210.99,1440.74,,1850.51,2300.34,2180.92
04-21,,,,,,,2790.88,,3140.45,1340.42,1730.07,2340.84,,,1320.68,1550.35,1610.8,1230.0,,,1810.92,2300.0,2100.29
04-22,,,,,,,,,3130.82,1400.16,1700.8,2360.72,,1190.55,1310.7,1500.8,1610.2,,,1630.5,1880.36,2310.62,2080.0
04-23,,,,,,,,2580.33,3150.72,1490.11,1740.8,,1660.13,1200.15,1300.5,1500.15,,,1430.13,1620.42,1880.73,2320.57,
