,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
04-04,,,,,,37.0,110.75,145.19,185.51,,,382.42,388.34,315.36,350.56,,590.0,723.0,747.5,1060.0,,,1389.2
04-05,,,,,,36.0,118.75,148.12,,,194.9,383.69,393.17,315.77,,,600.0,733.3,769.0,1065.8,,1455.0,1298.0
04-06,,,,,,36.0,117.0,144.62,,86.91,193.98,384.76,387.03,,,478.0,601.6,736.5,762.7,,1006.2,1434.6,1264.0
04-07,,,,,,39.7,120.48,,188.0,87.25,190.16,388.17,,,337.0,474.4,591.7,736.7,,,1038.0,1459.0,1263.0
04-08,,,,,,38.3,,,184.39,87.0,191.5,386.73,,313.06,340.39,470.6,584.4,,,1076.0,1053.8,1440.8,1200.6
04-09,,,,,,,,147.06,184.04,88.68,192.61,,394.69,317.72,342.64,465.5,,,699.5,1084.0,1073.0,1425.0,
04-10,,,,,,,122.0,145.57,183.33,91.35,,,381.56,316.74,345.0,463.6,,712.7,728.6,1084.0,1062.6,,
04-11,,,,,,37.31,124.45,147.99,174.02,,,381.38,387.01,315.5,346.0,,596.8,710.1,748.1,1082.0,,,1141.6
04-12,,,,,,37.31,125.67,146.03,,,194.39,374.73,384.42,314.8,,,599.0,702.7,753.0,1097.0,,1441.4,1116.2
04-13,,,,,,37.1,117.08,153.26,,87.85,197.72,385.44,383.51,,,477.2,610.0,699.9,730.8,,1024.0,1448.2,1101.4
04-14,,,,,,37.13,118.34,,172.87,88.16,204.73,383.8,,,339.5,462.9,601.7,685.0,,,1007.2,1467.6,1013.0
04-15,,,,,,37.13,,,174.09,89.19,201.82,379.28,,311.98,333.15,480.7,602.3,,,1082.2,952.0,1450.8,1056.0
04-16,,,,,,,,154.71,180.93,95.4,197.54,,374.18,310.99,339.55,493.0,,,718.7,1103.4,938.4,1455.8,
04-17,,,,,,,119.49,154.2,181.89,97.82,,,375.42,307.56,340.0,504.8,,679.0,726.4,1107.0,957.8,,
04-18,,,,,,37.13,120.9,153.31,188.67,,,368.03,376.64,307.52,350.0,,604.0,684.4,748.0,1110.2,,,1047.8
04-19,,,,,,37.13,120.43,148.5,,,193.97,377.94,388.66,303.46,,,604.6,678.8,745.7,1116.4,,1435.0,1011.0
04-20,,,,,,37.13,118.73,154.57,,93.39,194.55,378.26,388.42,,,507.0,604.2,685.1,742.3,,971.2,1417.6,1001.2
04-21,,,,,,36.5,120.17,,188.29,93.72,198.17,374.37,,,347.01,523.3,607.7,683.7,,,955.0,1426.0,998.8
04-22,,,,,,37.4,,,180.52,103.86,196.5,374.37,,297.72,343.95,505.1,611.0,,,1145.0,981.4,1449.4,970.2
04-23,,,,,,,,154.77,180.7,106.91,198.98,,375.95,295.36,341.0,499.6,,,738.1,1146.0,976.4,1428.6,
04-24,,,,,,,118.64,145.36,177.61,111.15,,,372.08,306.1,326.99,498.9,,689.6,742.5,1148.0,973.2,,
